No1,No2,No3,No4,No5,No6,No7
1,嗯..,,..他们就这样...,诶?,2,哈哈..嗯..
1,X,,Z,这是..羽毛?,0,"果然还是太脆弱了,一下子就坏掉了呢."
1,那个....,,,"说起来,在森林里的时候....",0,"你应该也知道吧,这其实是个假的."
0,X,,,X,2,"要是被那些家伙发现了,会有很多麻烦...."
1,"你刚才被某种生物袭击了,",,,"说起来,在森林里的时候....",1,"不过,既然已经来到这里了,应该就没事了!"
1,"看起来很危险,所以我就....",,,"如果你是在找什么的话,我可以帮你哦!",3,X
1,X,,,因为....,2,"如果吓到你了的话,对不起."
0,我也不太知道该怎么说....,,,X,2,"可能是因为赶着做出来的,衣服有点...."
0,X,,,...,1,"而且我本来就想脱掉,刚好呢!"
1,没、没事的!!,,,"啊,那边有光!",3,X
1,X,,,说不定是出口.,0,"那,我们就这样继续前进吧..?"
1,我..我是说....,,,我们快出去吧....!,2,总之先收拾一下再说....
1,"你从那么高的地方掉下来,",,,Z,4,X
99,所以我很担心你的身体有没有事....,,,,1,"好,那就出发吧!"
1,"看到你没事真是太好了,要是受伤了就糟了....",嗯..,,,5,Z
1,X,,,,,
1,"说起来,",,,,,
1,"你可能已经知道了,不过我....",,,,,
1,....,,,,,
0,也许我现在还没有准备好....,,,,,
0,X,,,,,
1,"总之,这个地方看起来很危险,",,,,,
1,我们还是先想办法离开这里吧.,,,,,
1,"我会安静地跟在你后面的,别担心!",,,,,
1,X,,,,,
1,那么....我们走吧?,,,,,
88,Z,,,,,
