No1,No2,No3,No4,No5,No6,No7
1,Um..,,..they did that.,Hm?,2,Haha.. Umm..
1,X,,Z,Is this… a feather?,0,"As expected, it was too weak and broke quickly."
1,Well..,,,"Come to think of it, back in the forest..",0,"You know, this is fake anyway."
0,X,,,X,2,"If they catch us, it would be trouble in so many ways.."
1,"You were being attacked by a creature,",,,"If you're looking for something,",1,"But we’ve come this far, so it should be fine now!"
1,"and it looked dangerous, so I..",,,I can help you!,3,X
1,X,,,Because..,2,Sorry if I startled you.
0,I’m not really sure how to say it..,,,X,2,"Maybe because I made it in a rush, the outfit is a bit…"
0,X,,,...,1,"I wanted to take it off anyway, so I guess it worked out!"
1,Iiit’s okay!!,,,"Oh, there’s a light up ahead!",3,X
1,X,,,It might be the exit.,0,"So we keep going now, right?"
1,I..I mean..,,,Let's get out of here…!,2,Let’s tidy up first..
1,"you fell from quite a high place,",,,Z,4,X
99,so I was worried if your body was okay..,,,,1,"Alright, let’s get going!"
1,I’m really glad you’re fine. It would be terrible if you were hurt..,..Um..,,,5,Z
1,X,,,,,
1,"Come to think of it,",,,,,
1,"you probably already know, but I..",,,,,
1,....,,,,,
0,Maybe I’m still not ready yet..,,,,,
0,X,,,,,
1,"Anyway, this place looks dangerous,",,,,,
1,so let’s focus on getting outside first.,,,,,
1,"I’ll quietly follow behind you, so don’t worry!",,,,,
1,X,,,,,
1,So.. shall we go?,,,,,
88,Z,,,,,
