No1,No2,No3,No4,No5,No6,No7
1,えっ..あの...,,"..彼らは,そうして...",えっ？,2,はは..うーん..
1,X,,Z,これは..羽毛?,0,"やっぱり弱くて,すぐ壊れちゃったね."
1,"そ,その..",,,"そういえば,森で..",0,"君も知ってると思うけど,これは偽物だから."
0,X,,,X,2,"あの者たちに見つかったら,いろいろ困るし.."
1,生き物に襲われてたから,,,もし何か探してるなら..,1,"でも,ここまで来たんだしもう大丈夫だと思う!"
1,"危なそうだったし,私が..",,,私が手伝うよ!,3,X
1,X,,,だって..,2,"驚かせちゃったなら,ごめんね."
0,なんて言えばいいんだろう..,,,X,2,"急いで作ったせいか,服がちょっと.."
0,X,,,...,1,"脱ぎたかったし,ちょうどよかったかな!"
1,"だ,だいじょうぶ!!",,,"あっ,あそこに光が見える!",3,X
1,X,,,もしかしたら出口かもしれない.,0,"じゃあ,このまま進むんだよね..?"
1,"いや,その..",,,早く出よう..!,2,とりあえず片付けてから..
1,結構高いところから落ちたから,,,Z,4,X
99,体は大丈夫かなって心配で...,,,,1,"よし,じゃあ出発しよう!"
1,本当に良かった. ケガしたら大変だし...,うーん..,,,5,Z
1,X,,,,,
1,"そういえば,",,,,,
1,"君も知ってると思うけど,私は..",,,,,
1,....,,,,,
0,"やっぱり,まだ準備が足りないのかも...",,,,,
0,X,,,,,
1,"とりあえず,ここは危なそうだから",,,,,
1,外に出ることから考えよう.,,,,,
1,"後ろから静かについていくから,心配しないで!",,,,,
1,X,,,,,
1,じゃあ..行こうか?,,,,,
88,Z,,,,,
