No1,No2,No3,No4,No5,No6,No7
1,Э-э... ну...,,…И вот так они…,А?,2,Хаха… хм…
1,X,,Z,Это... перо?,0,"Как и ожидалось, маска была слабой и быстро треснула."
1,Эм... это...,,,"Кстати, в лесу...",0,"Думаю, ты и сам знаешь — это ведь подделка."
0,X,,,X,2,"Если те найдут нас, возникнет куча проблем…"
1,"Тебя ведь атаковали какие-то существа,",,,Если ты что-то ищешь...,1,"Но раз мы уже зашли так далеко, думаю, всё будет в порядке!"
1,"выглядело опасно, поэтому я...",,,я помогу тебе!,3,X
1,X,,,Потому что...,2,Если я тебя напугала — извини.
0,"Даже не знаю, как это сказать...",,,X,2,"Наверное, я просто шила одежду в спешке, поэтому она получилась немного…"
0,X,,,...,1,"Хотя я всё равно хотела её снять, так что даже к лучшему!"
1,Т-ты в порядке!!,,,"А, смотри — там виден свет!",3,X
1,X,,,"Может быть, это выход.",0,"Значит, мы продолжим идти дальше… да?"
1,"Нет, просто...",,,Давай быстрее выберемся..!,2,Сначала нужно убрать это…
1,"ты ведь упал с довольно большой высоты,",,,Z,4,X
99,"я переживала, всё ли с тобой в порядке...",,,,1,"Ладно, тогда отправляемся!"
1,"Правда хорошо, что ты не пострадал. Было бы плохо, если бы ты поранился...",хм…,,,5,Z
1,X,,,,,
1,Кстати...,,,,,
1,"думаю, ты тоже знаешь, но я...",,,,,
1,....,,,,,
0,"Похоже, я всё ещё недостаточно готова...",,,,,
0,X,,,,,
1,"В любом случае здесь опасно,",,,,,
1,"давай сначала подумаем, как выбраться наружу.",,,,,
1,"Я тихо пойду за тобой, так что не переживай!",,,,,
1,X,,,,,
1,Ну что... пойдём?,,,,,
88,Z,,,,,
